number,name,city,district,address,phone,status
4273,中銘遊覽車客運有限公司,雲林縣,大埤鄉,尚義村尚義12-6號1樓,05-5917710,營業中
4435,中瑞交通有限公司,臺北市,松山區,南京東路５段２９８號１２樓之１,02-25289809,營業中
4575,飛達交通有限公司,臺北市,中山區,長春路１７２號７樓之８,02-22963533,已撤銷
4744,金釆交通有限公司,高雄市,三民區,九如一路２８０號１樓,07-2255085,已撤銷
4928,富士遊覽汽車有限公司,臺南市,南區,郡南里永安街228號1樓,2266077,已撤銷
5080,友仁通運有限公司,臺北市,松山區,民生東路五段一六五號十一樓之二,02-25152766,已撤銷
5170,全一通運有限公司,嘉義縣,水上鄉,嘉義縣水上鄉龍德村義德街３８號,05-2681333,營業中
5267,德隆巴士有限公司,高雄市,三民區,義德路２２號,07-3963211,籌設中
5329,鴻洋通運有限公司,臺南市,北區,大興街２３３巷２０弄７號１樓,06-3555999,營業中
5484,欣昌遊覽車股份有限公司,臺中市,霧峰區,樹仁路１５８－１號１樓,04-23333147,營業中
5677,福聯巴士有限公司,高雄市,三民區,義德路２２號,07-3963211,已撤銷
11476,統聯運通股份有限公司,新北市,三重區,光復路２段７３號,02-29957799,營業中
5917,劦統通運有限公司,高雄市,新興區,德生街１８號,07-3300667,已撤銷
6056,家福交通企業有限公司,高雄市,前金區,大同二路１４７號１樓之２３,2720087.238890,營業中
6174,貴賓通運股份有限公司,臺北市,中山區,長安東路１段２５號６樓,02-82950627,營業中
6325,曜興通運股份有限公司,臺北市,中正區,愛國西路9號五樓之九,02-29692745,已撤銷
2433,恒旺通運股份有限公司,高雄市,前鎮區,中山二路９１號１０樓之７,07-7613116.7242853,營業中
6542,興國巴士有限公司,高雄市,三民區,義德路２２號,07-3963211,已撤銷
6633,東利遊覽車客運有限公司,臺中市,西區,民生路４６６號１樓,04-23021236,營業中
6762,仁友汽車客運股份有限公司,臺中市,南屯區,春社里永春南路４２９號,04-23826068,營業中
7002,榮昇通運有限公司,臺中市,潭子區,圓通南路９４巷１２號１樓,04-25387310,營業中
7135,韶興交通有限公司,臺北市,中山區,長春路１７２號８Ｆ－９,03-4766788,營業中
7307,晶彩遊覽車客運有限公司,臺中市,大雅區,學府路３３號２Ｆ,0933-789594,營業中
7476,亞裕遊覽車客運有限公司,臺中市,大里區,環河路１６９號１樓,04-24180101,營業中
7624,東達通運有限公司,花蓮縣,新城鄉,北埔村光復路２７３號,03-8267471,營業中
7827,怡泰然通運有限公司,嘉義縣,太保市,痲寮里十七鄰北港路二段二百六十號,05-2375511,營業中
7978,國寶遊覽車客運有限公司92.7.29前不得辦理繳銷.過戶,彰化縣,溪州鄉,溪厝村中山路二段２５２號ㄧ樓,8892963,已歇業
8149,裕亨通運有限公司,金門縣,金湖鎮,新市里中興路２５號,0932897726,營業中
4880,南嘟交通事業有限公司,嘉義市,,嘉義市東區荖藤里忠孝北街132號2樓,05-2210352,營業中
8435,台中遊覽汽車股份有限公司,臺中市,南區,明德街２之１號,04-25234175,營業中
8518,永晴通運股份有限公司,臺北市,中山區,長春路１７２號１１樓之３,02-25068065,營業中
8727,環南交通汽車遊覽社,屏東縣,琉球鄉,漁福村三民路１０２號　,0921-207377,營業中
8863,榮中交通有限公司,高雄市,苓雅區,林西街１１７巷２８號１樓,07-2286007,已撤銷
9087,元盟交通有限公司,臺中市,豐原區,豐東路２２０巷２６號,04-25260086,營業中
9194,今賓交通企業有限公司,臺北市,信義區,永吉路179號三樓,02-25780727,營業中
9265,澎湖灣通運有限公司,澎湖縣,馬公市,中興路３６之１號１樓,06-9267105,營業中
9691,皇冠遊覽車客運有限公司,臺北市,中山區,中山北路３段２７號６樓之６,82957020,營業中
9451,華通通運有限公司,高雄市,苓雅區,正義路１４８號１樓,07-2366866,已撤銷
9628,長泰通運股份有限公司,臺北市,松山區,民族東路７６７之１號一樓,02-25592138,已撤銷
9838,騌毅通運有限公司,花蓮縣,新城鄉,嘉里路１５９之７號,03-8334888,營業中
10003,千通遊覽有限公司,臺北市,大安區,和平東路二段203號六樓之一,02-29776333,營業中
10125,利佳交通企業有限公司,臺北市,中山區,長安東路一段１６號１１Ｆ－６,,籌設中
10215,伊翔通運有限公司,高雄市,小港區,高坪二十六街１８２號１樓,07-3879967.8912716,營業中
10381,仁章交通股份有限公司,高雄市,三民區,大港街１８號,07-3232518,營業中
10559,明鑫交通有限公司,高雄市,鳳山區,文英里八德路１７９號５樓,07-7871997,營業中
10679,鈞翔通運有限公司,臺北市,中正區,信義路二段７號三樓之一,02-23099985,變更中
14229,裕順通運股份有限公司,新北市,中和區,安和路１６１號,02-22499912#4,營業中
10909,國華遊覽車客運有限公司,高雄市,岡山區,金興街７８號,07-3113111,籌設中
11017,世峰遊覽汽車股份有限公司,高雄市,大寮區,仁德路１６巷３０弄８號,07-7871997,營業中
11174,馬祖交通有限公司,連江縣,南竿鄉,馬祖村６７號,22417,營業中
11330,上通通運有限公司,屏東縣,屏東市,長春里民生路１２之１２號２樓,08-7233399,已撤銷
11445,有樂交通股份有限公司,高雄市,三民區,重慶街２１１號,3221366-9,已撤銷
11584,寶泰通運股份有限公司,臺北市,中山區,復興北路５８號８樓之１,02-27512108,營業中
11740,宜達通運有限公司,高雄市,前金區,新盛一街９－１３號,07-7871999,營業中
11889,佑康遊覽車客運有限公司,臺中市,北屯區,環中東路二段１０３號３樓,04-24392500,營業中
11989,全輪通運有限公司,高雄市,前金區,新盛一街９－１３號,07-3300667,營業中
12254,萬事達通運有限公司,臺中市,北屯區,環中東路2段103號1樓,04-24392345,營業中
12442,東建通運股份有限公司,臺中市,西區,民生路１２４之４號,042226060,已歇業
12585,勝晟交通有限公司,高雄市,小港區,民益路６４巷２號５樓,07-8032265,營業中
12795,北斗遊覽車客運股份有限公司,彰化縣,北斗鎮,西德里新厝巷１號,04-8882035,營業中
13024,翔發通運有限公司,雲林縣,虎尾鎮,興中里文科路７３０號１樓,055338835,營業中
